,X_1,epsilon_2,sigma_2,mass_2,k_12,BoxLength,Dself_1,Dself_1_err,Dself_2,Dself_2_err,Viscosity,Viscosity_err,num_particles,visc_rel_err,zeta
81,0.3,1.0,1.2,1.728,-0.6,9.4031,0.01023,2e-05,0.00903,1e-05,9.357,0.133,500,1.4213957464999467,0.4753542153589868
82,0.3,0.8,1.2,1.728,0.05,9.8249,0.05,6e-05,0.0408,3e-05,1.791,0.026,500,1.4517029592406478,0.4167216822609901
83,0.3,0.8,1.2,1.728,0.0,9.7964,0.04717,2e-05,0.03861,4e-05,1.904,0.036,500,1.8907563025210083,0.4203692935697784
84,0.3,0.8,1.2,1.728,-0.3,9.6447,0.0314,5e-05,0.02699,3e-05,2.796,0.021,500,0.7510729613733906,0.44051869464271526
85,0.3,0.8,1.2,1.728,-0.6,9.5234,0.01997,5e-05,0.01812,4e-05,4.309,0.041,500,0.9514968670225111,0.45756672697766876
86,0.3,0.6,1.2,1.728,0.05,10.2199,0.08389,7e-05,0.07517,5e-05,0.945,0.006,500,0.6349206349206349,0.37024617014430844
87,0.3,0.6,1.2,1.728,0.0,10.167,0.07997,0.00015,0.07099,0.00012,1.011,0.013,500,1.2858555885262117,0.376055585115916
88,0.3,0.6,1.2,1.728,-0.3,9.9111,0.05572,6e-05,0.05009,4e-05,1.459,0.012,500,0.822481151473612,0.40594289036387887
89,0.3,0.6,1.2,1.728,-0.6,9.7274,0.03794,8e-05,0.03546,4e-05,2.128,0.017,500,0.7988721804511278,0.4293783959622012
90,0.3,0.5,1.2,1.728,-0.3,10.1602,0.07753,0.00013,0.07214,9e-05,0.989,0.011,500,1.1122345803842264,0.3768111479465647
91,0.3,0.5,1.2,1.728,-0.6,9.9023,0.05359,7e-05,0.05106,4e-05,1.449,0.007,500,0.48309178743961356,0.4070261153763222
92,0.3,1.0,1.0,1.0,0.05,8.3801,0.02624,3e-05,0.02604,3e-05,3.533,0.069,500,1.9530144353240873,0.44485760902140514
93,0.3,1.0,1.0,1.0,0.0,8.3623,0.02433,4e-05,0.02434,3e-05,3.851,0.055,500,1.428200467411062,0.4477044332156837
94,0.3,1.0,1.0,1.0,-0.3,8.2628,0.01416,3e-05,0.01505,2e-05,6.62,0.106,500,1.6012084592145015,0.46407364374488497
95,0.3,0.8,1.0,1.0,0.05,8.5453,0.0418,3e-05,0.04363,3e-05,2.065,0.019,500,0.9200968523002421,0.41955285844771234
96,0.3,0.8,1.0,1.0,0.0,8.518,0.03907,7e-05,0.04086,3e-05,2.22,0.031,500,1.3963963963963963,0.42359977371097357
